clave,sujeto,tipo_prueba,cantidad_csv,cantidad_txt,archivos_csv,archivos_txt,par_txt_csv_completo
211260561_leftRight,211260561,leftRight,1,1,211260561_LeftRight.csv,211260561_LeftRight.txt,True
211260561_pushPull,211260561,pushPull,1,1,211260561_pullPush.csv,211260561_pullPush.txt,True
212260563_leftRight,212260563,leftRight,1,1,212260563_leftRight.csv,212260563_leftRight.txt,True
212260563_pushPull,212260563,pushPull,1,1,212260563_pullPush.csv,212260563_pullPush.txt,True
212260567_leftRight,212260567,leftRight,1,1,212260567_leftRight.csv,212260567_leftRight.txt,True
212260567_pushPull,212260567,pushPull,1,1,212260567_pullPush.csv,212260567_pullPush.txt,True
212260569_leftRight,212260569,leftRight,1,1,212260569_LeftRight.csv,212260569_LeftRight.txt,True
212260569_pushPull,212260569,pushPull,1,1,212260569PushPull.csv,212260569PushPull.txt,True
212260666_leftRight,212260666,leftRight,1,1,212260666_leftRight.csv,212260666_leftRight.txt,True
212260666_pushPull,212260666,pushPull,1,1,212260666_pullPush.csv,212260666_pullPush.txt,True
212260668_leftRight,212260668,leftRight,1,1,212260668_leftRight.csv,212260668_leftRight.txt,True
212260668_pushPull,212260668,pushPull,1,1,212260668_pullPush.csv,212260668_pullPush.txt,True
212260672_leftRight,212260672,leftRight,1,1,212260672_LeftRigth.csv,212260672_LeftRigth.txt,True
212260672_pushPull,212260672,pushPull,1,1,212260672_PushPull.csv,212260672_PushPull.txt,True
222260671_leftRight,222260671,leftRight,1,1,222260671LeftRigth.csv,222260671LeftRigth.txt,True
222260671_pushPull,222260671,pushPull,1,1,222260671PushPull.csv,222260671PushPull.txt,True
22260552_leftRight,22260552,leftRight,1,1,22260552_leftRight.csv,22260552_leftRight.txt,True
22260552_pushPull,22260552,pushPull,1,1,22260552_pullPush.csv,22260552_pullPush.txt,True
231260558_leftRight,231260558,leftRight,1,1,231260558_LeftRight.csv,231260558_LeftRight.txt,True
231260558_pushPull,231260558,pushPull,1,1,231260558_PulPush.csv,231260558_PulPush.txt,True
252260554_leftRight,252260554,leftRight,1,1,252260554_leftRight.csv,252260554_leftRight.txt,True
252260554_pushPull,252260554,pushPull,1,1,252260554_pullPush.csv,252260554_pullPush.txt,True
252260556_leftRight,252260556,leftRight,1,1,252260556_leftRight.csv,252260556_leftRight.txt,True
252260556_pushPull,252260556,pushPull,1,1,252260556_pullPush.csv,252260556_pullPush.txt,True
252260670_leftRight,252260670,leftRight,1,1,252260670_LeftRight.csv,252260670_LeftRight.txt,True
252260670_pushPull,252260670,pushPull,1,1,252260670_PushPull.csv,252260670_PushPull.txt,True
